Date,Adj Close,Close,High,Low,Open,Volume,Return
2015-01-02,1002.5,1002.5,1017.75,1002.25,1017.75,9173,
2015-01-05,1039.75,1039.75,1041.25,1001.5,1002.5,7451,0.03715710723192012
2015-01-06,1051.0,1051.0,1052.5,1034.0,1037.5,3994,0.010819908631882758
2015-01-07,1052.75,1052.75,1055.25,1044.5,1049.75,3888,0.0016650808753568835
2015-01-08,1045.0,1045.0,1057.0,1042.75,1051.5,4042,-0.0073616718119211555
2015-01-09,1051.5,1051.5,1052.0,1041.25,1044.25,3320,0.0062200956937799035
2015-01-12,1013.5,1013.5,1058.75,1013.0,1047.0,3313,-0.03613884926295763
2015-01-13,1000.0,1000.0,1022.25,998.0,1017.5,1454,-0.013320177602368033
2015-01-14,992.5,992.5,1004.0,991.75,1003.5,119424,-0.007499999999999951
2015-01-15,991.0,991.0,1019.75,985.25,1014.5,152445,-0.0015113350125944836
2015-01-16,991.75,991.75,996.0,983.0,991.25,96009,0.0007568113017153433
2015-01-20,982.0,982.0,986.75,972.25,982.0,114400,-0.009831106629694997
2015-01-21,983.5,983.5,991.0,977.5,983.5,110963,0.0015274949083503575
2015-01-22,976.75,976.75,992.5,975.0,984.25,90812,-0.00686324351804779
2015-01-23,972.75,972.75,980.5,967.25,977.0,107015,-0.004095213718965929
2015-01-26,983.5,983.5,984.25,967.0,971.75,85312,0.011051143664867702
2015-01-27,973.75,973.75,985.5,972.25,982.25,101221,-0.009913573970513512
2015-01-28,970.25,970.25,977.75,966.25,972.75,95595,-0.0035943517329910524
2015-01-29,968.25,968.25,977.75,967.0,969.5,110658,-0.0020613244009275444
2015-01-30,961.0,961.0,972.75,955.0,968.0,107062,-0.007487735605473778
2015-02-02,959.5,959.5,970.5,956.5,961.0,86688,-0.0015608740894901274
2015-02-03,987.0,987.0,999.0,959.75,959.75,183638,0.028660760812923458
2015-02-04,972.0,972.0,990.25,967.5,985.25,121561,-0.015197568389057725
2015-02-05,981.25,981.25,982.75,969.25,970.0,92627,0.009516460905349744
2015-02-06,973.5,973.5,987.5,971.25,981.25,113427,-0.007898089171974543
2015-02-09,978.5,978.5,983.25,972.0,973.5,109143,0.005136106831022058
2015-02-10,969.0,969.0,986.0,967.0,978.25,171876,-0.009708737864077666
2015-02-11,977.75,977.75,981.0,966.0,970.75,163833,0.009029927760577872
2015-02-12,983.75,983.75,985.0,973.5,977.25,144053,0.006136537969828604
2015-02-13,990.5,990.5,997.75,982.75,982.75,128959,0.00686149936467606
2015-02-17,1007.75,1007.75,1009.0,991.5,992.0,104614,0.017415446744068586
2015-02-18,995.75,995.75,1012.25,990.75,1007.0,99252,-0.01190771520714462
2015-02-19,1007.25,1007.25,1017.0,993.75,995.25,139528,0.011549083605322696
2015-02-20,999.25,999.25,1009.75,998.75,1006.75,85918,-0.007942417473318475
2015-02-23,999.25,999.25,1006.5,992.0,1000.5,66189,0.0
2015-02-24,1016.0,1016.0,1029.0,999.0,999.25,111284,0.016762571928946812
2015-02-25,1007.75,1007.75,1021.5,1002.0,1015.0,55241,-0.008120078740157521
2015-02-26,1024.0,1024.0,1024.75,1006.0,1007.5,59154,0.016125031009674995
2015-02-27,1030.75,1030.75,1035.5,1020.0,1023.0,17636,0.006591796875
2015-03-02,1011.25,1011.25,1037.25,1008.75,1029.75,8388,-0.018918263400436564
2015-03-03,1008.75,1008.75,1015.0,998.5,1011.75,8847,-0.0024721878862793423
2015-03-04,989.0,989.0,1010.25,988.25,1008.75,5138,-0.019578686493184616
2015-03-05,979.25,979.25,991.25,979.0,990.0,3378,-0.009858442871587436
2015-03-06,979.25,979.25,980.75,971.0,979.0,3313,0.0
2015-03-09,988.25,988.25,993.25,981.25,983.0,1714,0.009190707173857504
2015-03-10,980.0,980.0,989.0,978.0,987.25,1138,-0.00834809005818371
2015-03-11,989.0,989.0,991.5,979.0,979.0,841,0.009183673469387754
2015-03-12,986.5,986.5,992.5,981.75,989.0,777,-0.0025278058645096246
2015-03-13,968.25,968.25,986.5,968.25,986.5,121550,-0.018499746578814036
2015-03-16,969.25,969.25,978.0,967.5,972.5,82671,0.0010327911179963678
2015-03-17,954.5,954.5,973.0,953.5,968.0,113419,-0.015217952024761394
2015-03-18,965.0,965.0,967.0,953.5,954.5,102716,0.011000523834468368
2015-03-19,961.75,961.75,980.25,956.5,969.25,111075,-0.0033678756476683835
2015-03-20,973.75,973.75,980.0,960.0,961.75,126233,0.01247725500389918
2015-03-23,983.5,983.5,990.0,973.25,974.5,99545,0.010012836970475059
2015-03-24,981.75,981.75,985.0,975.75,983.75,90487,-0.001779359430605032
2015-03-25,978.75,978.75,987.75,978.0,982.75,113333,-0.0030557677616500634
2015-03-26,974.5,974.5,981.5,972.0,977.0,101275,-0.004342273307790578
2015-03-27,967.25,967.25,976.25,965.0,974.0,93855,-0.007439712673165677
2015-03-30,967.75,967.75,976.75,965.0,968.0,88920,0.0005169294391316193
2015-03-31,973.25,973.25,981.0,951.25,967.0,173826,0.005683285972616803
2015-04-01,989.75,989.75,991.75,972.75,973.25,159165,0.01695350629334702
2015-04-02,986.0,986.0,993.0,980.75,988.0,107812,-0.0037888355645364635
2015-04-06,978.5,978.5,990.25,978.0,985.0,59977,-0.007606490872210991
2015-04-07,971.0,971.0,984.0,970.0,977.75,107655,-0.007664793050587648
2015-04-08,971.5,971.5,975.0,967.75,971.0,108285,0.000514933058702427
2015-04-09,953.5,953.5,972.0,950.25,971.25,170266,-0.018528049408131797
2015-04-10,951.5,951.5,958.5,944.5,954.0,125611,-0.002097535395909844
2015-04-13,948.75,948.75,957.5,945.75,948.0,103494,-0.0028901734104046506
2015-04-14,960.25,960.25,961.5,948.5,948.75,142042,0.0121212121212122
2015-04-15,965.0,965.0,976.75,958.75,959.25,155426,0.004946628482166204
2015-04-16,966.0,966.0,970.25,955.5,964.0,90548,0.0010362694300518616
2015-04-17,968.75,968.75,972.5,963.0,965.25,90527,0.0028467908902691796
2015-04-20,977.5,977.5,981.0,967.5,968.0,110574,0.00903225806451613
2015-04-21,975.25,975.25,977.0,968.75,976.75,67881,-0.0023017902813299296
2015-04-22,970.5,970.5,976.5,965.25,973.75,108165,-0.004870546013842625
2015-04-23,978.25,978.25,983.0,971.0,971.25,83196,0.00798557444616188
2015-04-24,969.75,969.75,981.0,966.75,978.0,62779,-0.008688985433171426
2015-04-27,973.0,973.0,979.0,965.0,968.0,62813,0.0033513792214487914
2015-04-28,977.5,977.5,988.5,972.0,972.0,78014,0.004624871531346386
